20,20,20,20,20,20,20,20,20,20,20,20,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,20,20,20,20,20,20,20,20,20,20,20,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6,-1,-1,-1,6,6,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,6,6,6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,-1,-1,-1,-1,-1,6,-1,-1,6,6,-1,20,6,6,6,-1,-1,6,6,-1,-1,-1,-1,-1,-1,-1,6
6,6,-1,-1,-1,6,6,-1,6,6,6,-1,-1,6,6,6,6,-1,-1,-1,-1,-1,6,6,-1,-1,-1,20,-1,6,6,6,-1,6
6,-1,-1,20,-1,-1,-1,20,6,6,6,20,-1,6,6,6,6,-1,6,6,6,-1,-1,6,-1,20,-1,6,-1,6,6,6,-1,6
6,-1,6,6,6,6,6,6,6,6,6,-1,-1,-1,6,6,6,-1,20,6,6,20,-1,6,-1,6,6,6,-1,6,-1,-1,-1,6
6,-1,6,6,6,6,-1,-1,-1,-1,6,-1,20,-1,-1,-1,6,-1,-1,6,6,6,-1,6,-1,-1,-1,6,-1,6,-1,6,6,6
6,-1,6,6,6,6,-1,6,6,-1,6,-1,6,6,6,-1,6,6,-1,6,6,6,-1,6,-1,20,-1,6,-1,6,-1,6,6,6
-1,-1,-1,-1,-1,-1,-1,6,6,-1,6,-1,-1,-1,6,-1,20,6,-1,6,6,6,-1,20,-1,6,-1,6,20,-1,-1,-1,-1,-1
6,-1,6,6,6,6,6,6,6,-1,6,6,6,-1,6,-1,-1,-1,-1,-1,-1,6,6,-1,6,6,-1,6,-1,6,6,20,6,6
6,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,6,6,6,6,6,6,6,6,6,-1,6,6,-1,6,-1,-1,6,-1,6,6
6,-1,-1,-1,20,6,6,6,6,-1,6,-1,-1,6,6,6,6,-1,-1,-1,-1,-1,-1,-1,6,6,-1,6,20,-1,-1,-1,6,6
6,-1,6,-1,-1,6,6,6,6,6,6,-1,6,6,6,6,6,6,6,6,-1,6,6,-1,6,6,-1,-1,-1,-1,6,6,6,6
6,-1,6,6,-1,-1,-1,-1,6,6,6,-1,6,6,-1,6,6,6,-1,-1,-1,6,6,6,6,6,6,6,20,-1,6,6,6,6
6,-1,20,6,6,6,6,6,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,20,-1,-1,-1,-1,-1,-1,-1,6,6,-1,6,6,6,6
6,-1,-1,-1,-1,-1,-1,-1,6,-1,6,6,6,6,-1,6,6,6,-1,6,6,6,-1,6,6,6,6,6,6,-1,6,6,6,6
6,6,20,-1,20,6,6,6,6,-1,-1,-1,-1,-1,-1,20,6,6,-1,-1,6,-1,-1,-1,-1,-1,-1,6,6,-1,6,6,6,6
6,6,6,-1,-1,-1,-1,-1,-1,-1,20,6,6,6,-1,-1,-1,-1,20,-1,6,6,6,6,6,6,6,6,-1,-1,6,6,6,6
6,6,6,6,6,6,6,6,-1,6,6,6,6,6,-1,20,6,6,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,6,6,6,6
6,6,6,6,6,6,6,6,-1,-1,-1,-1,-1,-1,20,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
